,order_id,final_status,reassigned,manual_assingment,orphan,cancelled_reassignment,Any_problem
284,82088848,DeliveredStatus,False,False,False,False,False
285,82111309,DeliveredStatus,False,False,False,False,False
286,82047835,DeliveredStatus,False,False,False,False,False
287,82090515,DeliveredStatus,False,False,False,False,False
288,82018273,DeliveredStatus,False,False,False,False,False
289,81937726,DeliveredStatus,False,False,False,False,False
290,81962446,DeliveredStatus,True,False,False,False,True
291,81984798,DeliveredStatus,True,False,False,False,True
292,82087042,DeliveredStatus,True,False,False,False,True
293,81920218,DeliveredStatus,False,False,False,False,False
294,82091734,DeliveredStatus,False,False,False,False,False
295,82134181,DeliveredStatus,False,False,False,False,False
296,82139577,DeliveredStatus,False,False,False,False,False
297,82113559,DeliveredStatus,False,False,False,False,False
298,82087712,DeliveredStatus,False,False,False,False,False
299,82089880,DeliveredStatus,False,False,False,False,False
300,82070582,DeliveredStatus,False,False,False,False,False
301,82103002,DeliveredStatus,False,False,False,False,False
302,81959486,DeliveredStatus,False,False,False,False,False
303,82087991,DeliveredStatus,False,False,False,False,False
304,82113187,DeliveredStatus,False,False,False,False,False
305,82079959,DeliveredStatus,False,False,False,False,False
306,81939120,DeliveredStatus,False,False,False,False,False
307,82129495,DeliveredStatus,False,False,False,False,False
308,82082284,DeliveredStatus,False,False,False,False,False
309,82117856,DeliveredStatus,False,False,False,False,False
310,81956075,DeliveredStatus,False,False,False,False,False
311,82023470,DeliveredStatus,False,False,True,False,True
312,81949893,DeliveredStatus,False,False,False,False,False
313,81942966,DeliveredStatus,False,False,False,False,False
314,82118207,DeliveredStatus,False,False,False,False,False
315,81941291,DeliveredStatus,False,False,False,False,False
316,81971502,DeliveredStatus,False,False,False,False,False
317,81938519,DeliveredStatus,False,False,False,False,False
318,82121542,DeliveredStatus,False,False,False,False,False
319,81981792,DeliveredStatus,True,False,False,False,True
320,81918248,DeliveredStatus,False,False,False,False,False
321,81953430,DeliveredStatus,False,False,False,False,False
322,81962307,DeliveredStatus,False,False,False,False,False
323,81956908,DeliveredStatus,False,False,False,False,False
324,82128595,CanceledStatus,,,,,
325,81973321,CanceledStatus,,,,,
326,81951077,CanceledStatus,,,,,
327,81849032,DeliveredStatus,True,False,False,False,True
328,82031445,DeliveredStatus,False,False,False,False,False
329,82123789,DeliveredStatus,False,False,False,False,False
330,82040804,DeliveredStatus,False,False,False,False,False
331,82116530,DeliveredStatus,False,False,False,False,False
332,81968255,DeliveredStatus,False,False,False,False,False
333,82098573,DeliveredStatus,False,False,False,False,False
334,82121360,DeliveredStatus,False,False,False,False,False
335,81973087,DeliveredStatus,False,False,False,False,False
336,82012430,DeliveredStatus,False,False,False,False,False
337,82032312,DeliveredStatus,False,False,False,False,False
338,82042271,DeliveredStatus,False,False,False,False,False
339,81887483,CanceledStatus,,,,,
340,82121231,DeliveredStatus,False,False,False,False,False
341,81854549,DeliveredStatus,False,False,True,False,True
342,81931707,DeliveredStatus,False,False,False,False,False
343,81955138,DeliveredStatus,False,False,False,False,False
344,81959884,DeliveredStatus,True,False,False,False,True
345,81976941,DeliveredStatus,False,False,False,False,False
346,82091070,CanceledStatus,,,,,
347,81933694,DeliveredStatus,False,False,False,False,False
348,81943978,DeliveredStatus,False,False,False,False,False
349,81947775,DeliveredStatus,False,False,False,False,False
350,82101358,DeliveredStatus,False,False,False,False,False
351,81936807,DeliveredStatus,False,False,False,False,False
352,82096326,DeliveredStatus,False,False,False,False,False
353,82129420,DeliveredStatus,False,True,False,False,True
354,81912551,DeliveredStatus,False,False,False,False,False
355,82002274,DeliveredStatus,False,False,False,False,False
356,82123407,CanceledStatus,,,,,
357,82142155,DeliveredStatus,False,False,False,False,False
358,81937147,DeliveredStatus,False,False,True,False,True
359,81964378,DeliveredStatus,False,False,False,False,False
360,81937236,DeliveredStatus,False,False,False,False,False
361,82004058,DeliveredStatus,False,False,False,False,False
362,81948125,DeliveredStatus,False,False,False,False,False
363,82113956,DeliveredStatus,False,False,False,False,False
364,81971049,DeliveredStatus,False,False,False,False,False
365,81930372,DeliveredStatus,False,False,False,False,False
366,82132889,DeliveredStatus,False,False,False,False,False
367,81944751,DeliveredStatus,False,False,False,False,False
368,81947784,DeliveredStatus,False,False,False,False,False
